item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM_190,ORD_486,PROD_306,4,370.26,46.8
ITEM_191,ORD_39,PROD_498,6,302.47,66.36
ITEM_192,ORD_396,PROD_73,7,404.28,30.85
ITEM_193,ORD_171,PROD_142,10,246.7,60.51
ITEM_194,ORD_35,PROD_172,-3,220.14,67.24
ITEM_195,ORD_198,PROD_152,4,437.4,52.88
ITEM_196,ORD_431,PROD_192,2,503.95,52.2
ITEM_197,ORD_307,PROD_386,4,449.53,2.16
ITEM_198,ORD_258,PROD_91,5,276.19,93.35
ITEM_199,ORD_281,PROD_396,1,506.94,11.7
ITEM_200,ORD_44,PROD_112,4,225.57,15.44
ITEM_201,ORD_138,PROD_221,7,590.84,90.68
ITEM_202,ORD_220,PROD_440,10,125.89,43.43
ITEM_203,ORD_461,PROD_44,10,465.5,6.46
ITEM_204,ORD_335,PROD_33,5,67.56,83.64
ITEM_205,ORD_487,PROD_278,9,561.34,41.54
ITEM_206,ORD_373,PROD_28,5,176.77,19.9
ITEM_207,ORD_473,PROD_213,1,342.21,75.09
ITEM_208,ORD_214,PROD_465,4,123.5,13.18
ITEM_209,ORD_324,PROD_432,9,494.26,44.64
ITEM_210,ORD_279,PROD_441,2,314.61,21.68
ITEM_211,ORD_443,PROD_136,6,493.5,72.25
ITEM_212,ORD_488,PROD_316,6,592.65,2.56
ITEM_213,ORD_231,PROD_333,6,502.21,43.9
ITEM_214,ORD_156,PROD_286,9,156.92,27.98
ITEM_215,ORD_285,PROD_453,1,303.06,5.28
ITEM_216,ORD_506,PROD_260,5,210.49,22.96
ITEM_217,ORD_113,PROD_472,10,313.84,6.51
ITEM_218,ORD_516,PROD_405,6,540.97,77.48
ITEM_219,ORD_393,PROD_58,5,273.54,37.37
ITEM_220,ORD_71,PROD_446,2,416.9,27.3
ITEM_221,ORD_303,PROD_350,7,308.37,45.3
ITEM_222,ORD_87,PROD_339,10,441.3,89.22
ITEM_223,ORD_80,PROD_17,7,284.93,44.02
ITEM_224,ORD_407,PROD_305,4,415.93,41.93
ITEM_225,ORD_37,PROD_499,1,74.13,86.14
ITEM_226,ORD_229,PROD_471,4,47.16,97.9
ITEM_227,ORD_254,PROD_287,5,228.28,9.02
ITEM_228,ORD_122,PROD_283,5,290.0,68.84
ITEM_229,ORD_303,PROD_141,7,386.43,24.24
ITEM_230,ORD_386,PROD_178,9,141.36,5.33
ITEM_231,ORD_396,PROD_323,8,393.58,46.87
ITEM_232,ORD_306,PROD_436,8,536.49,72.2
ITEM_233,ORD_177,PROD_483,7,70.26,59.79
ITEM_234,ORD_473,PROD_240,6,81.94,12.8
ITEM_235,ORD_263,PROD_311,1,362.38,7.93
ITEM_236,ORD_405,PROD_416,2,210.67,27.05
ITEM_237,ORD_146,PROD_100,2,434.21,0.78
ITEM_238,ORD_193,PROD_44,5,586.11,71.6
ITEM_239,ORD_6,PROD_315,7,52.48,72.8
ITEM_240,ORD_291,PROD_256,7,265.01,50.07
ITEM_241,ORD_7,PROD_175,7,262.03,9.8
ITEM_242,ORD_224,PROD_47,1,569.8,56.05
ITEM_243,ORD_462,PROD_173,6,503.2,66.34
ITEM_244,ORD_508,PROD_246,6,326.56,71.0
ITEM_245,ORD_74,PROD_187,6,110.96,36.56
ITEM_246,ORD_51,PROD_281,10,331.19,69.61
ITEM_247,ORD_358,PROD_328,8,491.51,87.96
ITEM_248,ORD_112,PROD_239,8,43.5,3.3
ITEM_249,ORD_200,PROD_178,9,354.19,29.35
ITEM_250,ORD_243,PROD_314,6,129.44,15.52
ITEM_251,ORD_485,PROD_175,4,380.41,57.9
ITEM_252,ORD_94,PROD_446,9,430.13,72.02
ITEM_253,ORD_481,PROD_510,6,491.47,22.84
ITEM_254,ORD_474,PROD_408,9,444.68,41.94
ITEM_255,ORD_123,PROD_376,4,137.07,56.32
ITEM_256,ORD_31,PROD_406,8,477.59,78.13
ITEM_257,ORD_179,PROD_126,-1,154.67,73.88
ITEM_258,ORD_127,PROD_121,4,310.83,19.37
ITEM_259,ORD_41,PROD_380,10,271.4,57.75
ITEM_260,ORD_490,PROD_247,5,182.04,49.04
ITEM_261,ORD_368,PROD_330,9,49.16,89.26
ITEM_262,ORD_262,PROD_449,8,334.47,77.4
ITEM_263,ORD_475,PROD_14,2,272.92,26.22
ITEM_264,ORD_11,PROD_147,3,24.02,46.68
ITEM_265,ORD_488,PROD_168,3,184.08,41.06
ITEM_266,ORD_329,PROD_385,4,238.72,24.17
ITEM_267,ORD_382,PROD_464,3,495.12,91.96
ITEM_268,ORD_140,PROD_230,5,412.17,53.73
ITEM_269,ORD_77,PROD_57,3,174.92,58.12
ITEM_270,ORD_425,PROD_354,8,342.66,28.43
ITEM_271,ORD_279,PROD_60,7,559.41,3.84
ITEM_272,ORD_67,PROD_238,1,574.84,64.65
ITEM_273,ORD_87,PROD_195,4,135.32,69.81
ITEM_274,ORD_304,PROD_513,3,424.96,22.08
ITEM_275,ORD_413,PROD_494,10,307.63,33.77
ITEM_276,ORD_153,PROD_235,5,569.93,75.82
ITEM_277,ORD_161,PROD_189,1,378.41,72.95
ITEM_278,ORD_312,PROD_255,4,320.32,6.17
ITEM_279,ORD_317,PROD_512,7,213.15,99.1
ITEM_281,ORD_304,PROD_97,7,345.12,48.3
ITEM_282,ORD_455,PROD_92,10,573.66,56.18
ITEM_283,ORD_497,PROD_297,7,154.17,72.84
ITEM_284,ORD_153,PROD_325,4,78.56,99.09
ITEM_285,ORD_378,PROD_455,6,204.79,98.38
ITEM_286,ORD_56,PROD_85,7,204.32,16.33
ITEM_287,ORD_127,PROD_478,6,455.93,73.32
ITEM_288,ORD_161,PROD_361,9,270.97,46.21
ITEM_289,ORD_61,PROD_314,1,100.08,83.16
ITEM_290,ORD_410,PROD_268,1,203.68,32.78
ITEM_291,ORD_478,PROD_101,9,234.24,18.06
ITEM_292,ORD_363,PROD_96,3,58.89,17.44
ITEM_293,ORD_58,PROD_8,8,546.98,58.62
ITEM_294,ORD_221,PROD_255,3,550.16,13.31
ITEM_295,ORD_403,PROD_269,6,50.21,57.43
ITEM_296,ORD_381,PROD_82,3,309.8,92.79
ITEM_297,ORD_273,PROD_85,2,291.93,86.85
ITEM_298,ORD_88,PROD_22,3,596.53,22.51
ITEM_299,ORD_429,PROD_140,7,276.42,57.97
ITEM_300,ORD_35,PROD_338,3,210.08,45.69
ITEM_301,ORD_102,PROD_109,8,116.33,67.82
ITEM_302,ORD_17,PROD_450,2,428.81,14.79
ITEM_303,ORD_139,PROD_168,9,487.26,43.69
ITEM_304,ORD_235,PROD_352,3,463.9,81.44
ITEM_305,ORD_348,PROD_133,4,433.63,7.65
ITEM_306,ORD_145,PROD_73,6,243.88,1.05
ITEM_307,ORD_418,PROD_193,3,452.82,81.29
ITEM_308,ORD_116,PROD_410,7,245.94,78.99
ITEM_309,ORD_479,PROD_486,6,123.26,54.78
ITEM_310,ORD_386,PROD_36,5,228.16,61.0
ITEM_311,ORD_307,PROD_289,7,407.29,8.66
ITEM_312,ORD_490,PROD_399,4,60.4,79.09
ITEM_313,ORD_295,PROD_480,2,143.88,49.28
ITEM_314,ORD_481,PROD_142,5,307.47,91.71
ITEM_315,ORD_485,PROD_289,3,543.01,77.89
ITEM_316,ORD_182,PROD_284,2,576.7,95.96
ITEM_317,ORD_321,PROD_237,9,96.31,44.27
ITEM_318,ORD_202,PROD_176,5,14.96,73.4
ITEM_319,ORD_5,PROD_263,10,202.78,45.08
ITEM_320,ORD_110,PROD_248,10,412.93,12.89
ITEM_321,ORD_519,PROD_495,4,546.42,70.43
ITEM_322,ORD_74,PROD_60,6,565.32,94.25
ITEM_323,ORD_314,PROD_116,6,102.77,74.17
ITEM_324,ORD_310,PROD_116,7,340.81,70.9
ITEM_325,ORD_77,PROD_379,10,109.09,92.5
ITEM_326,ORD_219,PROD_264,9,452.95,56.21
ITEM_327,ORD_312,PROD_286,1,128.62,9.49
ITEM_328,ORD_356,PROD_460,7,144.85,58.62
ITEM_329,ORD_486,PROD_210,6,260.02,26.97
ITEM_330,ORD_300,PROD_395,4,337.28,10.9
ITEM_331,ORD_258,PROD_506,10,549.54,98.53
ITEM_332,ORD_381,PROD_8,10,408.65,32.77
ITEM_333,ORD_271,PROD_273,6,219.34,38.37
ITEM_334,ORD_503,PROD_201,8,19.39,86.68
ITEM_335,ORD_227,PROD_122,5,389.34,90.19
ITEM_336,ORD_229,PROD_307,2,102.98,88.59
ITEM_337,ORD_93,PROD_227,3,580.35,60.21
ITEM_338,ORD_141,PROD_338,10,534.45,5.61
ITEM_339,ORD_395,PROD_506,4,94.64,63.28
ITEM_340,ORD_415,PROD_212,6,148.5,60.15
ITEM_341,ORD_85,PROD_205,8,482.17,43.43
ITEM_342,ORD_502,PROD_494,9,65.84,69.28
ITEM_343,ORD_47,PROD_487,6,483.43,99.77
ITEM_344,ORD_497,PROD_205,8,178.82,55.47
ITEM_345,ORD_283,PROD_20,10,365.59,37.05
ITEM_346,ORD_248,PROD_337,7,349.05,67.62
ITEM_347,ORD_156,PROD_430,10,21.69,1.11
ITEM_348,ORD_293,PROD_226,8,365.84,7.32
ITEM_349,ORD_105,PROD_146,4,393.29,41.72
ITEM_350,ORD_47,PROD_423,9,538.81,33.43
ITEM_351,ORD_471,PROD_327,7,252.78,93.91
ITEM_352,ORD_292,PROD_111,6,13.24,5.94
ITEM_353,ORD_44,PROD_472,8,212.61,9.56
ITEM_354,ORD_489,PROD_372,10,203.41,40.4
ITEM_355,ORD_341,PROD_426,2,308.38,73.34
ITEM_356,ORD_303,PROD_328,9,238.35,78.64
ITEM_357,ORD_446,PROD_204,8,80.89,49.4
ITEM_358,ORD_221,PROD_461,9,252.65,32.23
ITEM_359,ORD_123,PROD_190,1,573.62,19.43
ITEM_360,ORD_77,PROD_206,8,441.44,27.43
ITEM_361,ORD_111,PROD_468,9,551.67,82.81
ITEM_362,ORD_433,PROD_276,6,316.77,85.38
ITEM_363,ORD_135,PROD_385,-2,520.42,18.15
ITEM_364,ORD_306,PROD_139,10,294.48,52.66
ITEM_365,ORD_463,PROD_118,4,356.07,75.86
ITEM_366,ORD_152,PROD_120,-5,566.09,68.41
ITEM_367,ORD_511,PROD_303,5,181.56,65.94
ITEM_368,ORD_510,PROD_240,8,579.41,23.44
ITEM_369,ORD_429,PROD_135,-3,175.2,84.55
ITEM_370,ORD_289,PROD_511,8,427.9,38.98
ITEM_371,ORD_505,PROD_42,6,62.33,57.42
ITEM_372,ORD_113,PROD_134,1,460.06,45.43
ITEM_373,ORD_127,PROD_488,5,403.82,9.11
ITEM_374,ORD_227,PROD_427,5,280.08,51.69
ITEM_375,ORD_409,PROD_77,5,111.04,86.25
ITEM_376,ORD_462,PROD_352,10,60.65,58.36
ITEM_377,ORD_442,PROD_224,2,172.92,32.45
ITEM_378,ORD_519,PROD_273,2,259.16,87.82
ITEM_379,ORD_78,PROD_6,9,386.1,65.8
ITEM_380,ORD_387,PROD_5,2,448.07,7.5
ITEM_381,ORD_492,PROD_101,6,380.08,53.74
ITEM_382,ORD_70,PROD_269,-4,458.48,39.59
ITEM_383,ORD_259,PROD_260,5,508.89,84.17
ITEM_384,ORD_62,PROD_12,8,243.77,34.65
ITEM_385,ORD_55,PROD_182,5,306.23,31.79
ITEM_386,ORD_433,PROD_512,9,87.79,4.44
ITEM_387,ORD_415,PROD_99,7,389.84,26.69
ITEM_388,ORD_505,PROD_461,10,73.84,11.37
ITEM_389,ORD_318,PROD_281,3,380.57,88.76
ITEM_390,ORD_447,PROD_271,7,200.34,53.97
ITEM_391,ORD_519,PROD_335,2,438.77,16.08
ITEM_392,ORD_403,PROD_390,3,160.67,18.41
ITEM_393,ORD_206,PROD_196,3,405.8,60.42
ITEM_394,ORD_129,PROD_427,10,310.54,15.89
ITEM_395,ORD_307,PROD_24,1,440.42,23.39
ITEM_396,ORD_506,PROD_29,5,575.35,5.66
ITEM_397,ORD_335,PROD_68,4,347.87,1.34
ITEM_398,ORD_367,PROD_63,1,115.7,69.86
ITEM_399,ORD_32,PROD_130,1,213.4,61.7
ITEM_400,ORD_268,PROD_392,5,366.93,77.39
ITEM_401,ORD_258,PROD_376,6,381.68,5.76
ITEM_402,ORD_444,PROD_106,7,301.38,68.71
ITEM_403,ORD_105,PROD_135,10,232.43,74.75
ITEM_404,ORD_218,PROD_413,5,58.68,37.72
ITEM_405,ORD_42,PROD_100,9,194.75,92.46
ITEM_406,ORD_512,PROD_10,6,122.18,24.27
ITEM_407,ORD_278,PROD_231,8,469.11,77.06
ITEM_409,ORD_328,PROD_483,7,341.55,99.87
ITEM_410,ORD_65,PROD_239,10,158.91,91.19
ITEM_411,ORD_506,PROD_76,3,530.51,42.56
ITEM_412,ORD_441,PROD_33,7,96.73,66.11
ITEM_413,ORD_193,PROD_353,4,315.93,29.27
ITEM_414,ORD_9,PROD_260,7,291.61,39.96
ITEM_415,ORD_283,PROD_435,5,242.43,57.0
ITEM_416,ORD_418,PROD_25,4,570.38,68.26
ITEM_417,ORD_374,PROD_171,7,135.66,99.65
ITEM_418,ORD_363,PROD_373,7,210.59,81.89
ITEM_419,ORD_407,PROD_294,5,492.32,33.81
ITEM_420,ORD_155,PROD_279,6,194.05,19.31
ITEM_421,ORD_251,PROD_220,9,262.9,20.56
ITEM_422,ORD_61,PROD_70,8,290.9,13.21
ITEM_423,ORD_471,PROD_329,10,74.24,43.05
ITEM_424,ORD_90,PROD_124,6,360.7,17.47
ITEM_425,ORD_437,PROD_308,5,297.36,0.48
ITEM_426,ORD_361,PROD_123,-3,63.69,15.67
ITEM_427,ORD_473,PROD_501,6,114.03,6.49
ITEM_428,ORD_217,PROD_121,8,378.95,43.54
ITEM_429,ORD_42,PROD_337,3,174.79,86.2
ITEM_430,ORD_74,PROD_146,7,122.09,46.18
ITEM_431,ORD_11,PROD_499,4,398.51,40.43
ITEM_432,ORD_270,PROD_418,8,113.98,52.59
ITEM_433,ORD_213,PROD_213,5,474.87,24.58
ITEM_434,ORD_118,PROD_422,8,539.15,82.39
ITEM_435,ORD_201,PROD_143,9,117.53,60.16
ITEM_436,ORD_186,PROD_13,7,313.69,41.06
ITEM_437,ORD_418,PROD_395,4,180.38,73.51
ITEM_438,ORD_445,PROD_396,9,446.59,54.68
ITEM_439,ORD_75,PROD_344,10,356.69,82.75
ITEM_440,ORD_45,PROD_413,4,93.47,81.33
ITEM_441,ORD_444,PROD_340,2,121.35,57.61
ITEM_442,ORD_369,PROD_167,10,571.43,73.94
ITEM_443,ORD_123,PROD_371,1,483.76,69.87
ITEM_444,ORD_127,PROD_105,3,580.74,69.58
ITEM_445,ORD_498,PROD_484,5,426.62,36.53
ITEM_446,ORD_261,PROD_454,4,12.07,61.36
ITEM_447,ORD_180,PROD_214,7,513.03,13.87
ITEM_448,ORD_143,PROD_282,9,424.41,14.03
ITEM_449,ORD_84,PROD_449,4,537.64,20.59
ITEM_450,ORD_456,PROD_401,9,322.0,16.33
ITEM_451,ORD_241,PROD_417,1,567.76,37.91
ITEM_452,ORD_127,PROD_316,4,559.78,37.08
ITEM_453,ORD_436,PROD_291,5,234.67,86.88
ITEM_454,ORD_465,PROD_418,5,340.94,23.67
ITEM_455,ORD_246,PROD_307,3,582.03,99.98
ITEM_456,ORD_436,PROD_336,10,176.2,19.43
ITEM_457,ORD_10,PROD_106,6,113.94,12.81
ITEM_458,ORD_55,PROD_476,5,341.91,6.57
ITEM_459,ORD_25,PROD_473,9,209.47,33.49
ITEM_460,ORD_323,PROD_112,8,263.27,90.96
ITEM_461,ORD_8,PROD_196,10,462.73,6.76
ITEM_462,ORD_105,PROD_458,6,566.0,19.09
ITEM_463,ORD_207,PROD_193,3,356.46,74.76
ITEM_464,ORD_500,PROD_247,5,309.88,79.47
ITEM_465,ORD_118,PROD_279,5,108.25,41.82
ITEM_466,ORD_167,PROD_8,1,507.75,38.66
ITEM_467,ORD_73,PROD_518,5,78.39,61.45
ITEM_468,ORD_314,PROD_509,7,98.93,86.7
ITEM_469,ORD_324,PROD_312,5,381.89,9.35
ITEM_470,ORD_18,PROD_365,1,140.01,25.28
ITEM_471,ORD_6,PROD_92,6,451.45,2.96
ITEM_472,ORD_469,PROD_393,2,72.74,60.39
ITEM_473,ORD_109,PROD_387,2,431.47,5.46
ITEM_474,ORD_373,PROD_71,5,461.08,40.89
ITEM_475,ORD_458,PROD_227,7,497.64,78.2
ITEM_476,ORD_307,PROD_131,9,592.18,30.62
ITEM_477,ORD_420,PROD_219,3,214.6,91.63
ITEM_478,ORD_337,PROD_217,1,258.02,22.57
ITEM_479,ORD_421,PROD_492,8,91.41,77.26
ITEM_480,ORD_244,PROD_364,3,100.87,33.62
ITEM_481,ORD_238,PROD_293,2,554.97,73.49
ITEM_482,ORD_348,PROD_336,6,358.56,51.35
ITEM_483,ORD_209,PROD_447,1,350.32,64.1
ITEM_484,ORD_358,PROD_489,1,319.83,93.41
ITEM_485,ORD_16,PROD_42,1,197.72,51.48
